timestamp,alphaDeg,measured,predicted,symmetric,error
1779423881866,351.196,8191.000,8006.129,8034.145,-184.871
1779423881886,351.291,8191.000,8005.411,8034.145,-185.589
1779423881906,351.407,8191.000,8004.534,8034.145,-186.466
1779423881926,351.512,8225.000,8003.737,8034.145,-221.263
1779423881946,351.607,8259.000,8003.020,8034.145,-255.980
1779423881966,351.723,8361.000,8002.143,8034.145,-358.857
1779423881986,351.808,8395.000,8001.505,8034.145,-393.495
1779423882006,351.924,8532.000,8000.628,8034.145,-531.372
1779423882026,352.040,8805.000,7999.752,8008.474,-805.248
1779423882046,352.135,8942.000,7999.035,8008.474,-942.965
1779423882066,352.251,9351.000,7998.158,8008.474,-1352.842
1779423882086,352.335,9488.000,7997.521,8008.474,-1490.479
1779423882106,352.462,9931.000,7996.565,8008.474,-1934.435
1779423882126,352.578,10273.000,7996.373,8008.474,-2276.627
1779423882146,352.662,10443.000,7996.479,8008.474,-2446.521
1779423882166,352.789,10921.000,7996.638,8008.474,-2924.362
1779423882186,352.873,11092.000,7996.743,8008.474,-3095.257
1779423882232,348.872,8088.000,8023.688,8113.233,-64.312
1779423882252,348.956,8088.000,8023.051,8113.233,-64.949
1779423882272,349.072,8088.000,8022.175,8054.942,-65.825
1779423882292,349.188,8088.000,8021.300,8054.942,-66.700
1779423882312,349.283,8088.000,8020.584,8054.942,-67.416
1779423882332,349.398,8088.000,8019.708,8054.942,-68.292
1779423882352,349.493,8122.000,8018.992,8054.942,-103.008
1779423882372,349.609,8122.000,8018.117,8054.942,-103.883
1779423882392,349.704,8122.000,8017.401,8054.942,-104.599
1779423882412,349.820,8122.000,8016.526,8054.942,-105.474
1779423882432,349.935,8122.000,8015.651,8054.942,-106.349
1779423882452,350.020,8122.000,8015.015,8027.222,-106.985
1779423882472,350.135,8122.000,8014.140,8027.222,-107.860
1779423882492,350.230,8122.000,8013.425,8027.222,-108.575
1779423882512,350.346,8122.000,8012.550,8027.222,-109.450
1779423882532,350.451,8122.000,8011.755,8027.222,-110.245
1779423882552,350.546,8122.000,8011.040,8027.222,-110.960
1779423882572,350.662,8122.000,8010.165,8027.222,-111.835
1779423882592,350.756,8122.000,8009.450,8027.222,-112.550
1779423882612,350.872,8157.000,8008.576,8027.222,-148.424
1779423882632,350.977,8157.000,8007.781,8027.222,-149.219
1779423882638,346.649,8157.000,8040.480,8062.172,-116.520
1779423882652,351.072,8157.000,8007.067,8034.145,-149.933
1779423882658,346.754,8157.000,8039.686,8062.172,-117.314
1779423882672,351.187,8191.000,8006.192,8034.145,-184.808
1779423882678,346.838,8157.000,8039.051,8062.172,-117.949
1779423882692,351.282,8191.000,8005.478,8034.145,-185.522
1779423882698,346.954,8157.000,8038.177,8062.172,-118.823
1779423882712,351.398,8191.000,8004.604,8034.145,-186.396
1779423882718,347.070,8157.000,8037.302,8112.092,-119.698
1779423882738,347.164,8157.000,8036.588,8112.092,-120.412
1779423882758,347.280,8157.000,8035.714,8112.092,-121.286
1779423882778,347.374,8122.000,8035.000,8112.092,-87.000
1779423882798,347.490,8122.000,8034.126,8112.092,-87.874
1779423882818,347.606,8122.000,8033.253,8112.092,-88.747
1779423882838,347.690,8122.000,8032.618,8112.092,-89.382
1779423882858,347.805,8088.000,8031.745,8112.092,-56.255
1779423882878,347.921,8088.000,8030.871,8112.092,-57.129
1779423882898,348.005,8088.000,8030.237,8113.233,-57.763
1779423882918,348.120,8088.000,8029.364,8113.233,-58.636
1779423882938,348.215,8088.000,8028.650,8113.233,-59.350
1779423882958,348.330,8088.000,8027.777,8113.233,-60.223
1779423882978,348.414,8088.000,8027.143,8113.233,-60.857
1779423882998,348.540,8088.000,8026.191,8113.233,-61.809
1779423883018,348.656,8088.000,8025.318,8113.233,-62.682
1779423883038,348.750,8054.000,8024.604,8113.233,-29.396
1779423883048,344.517,8191.000,8052.787,8070.114,-138.213
1779423883058,348.855,8088.000,8023.811,8113.233,-64.189
1779423883068,344.633,8191.000,8052.823,8070.114,-138.177
1779423883078,348.939,8088.000,8023.178,8113.233,-64.822
1779423883088,344.727,8191.000,8052.853,8070.114,-138.147
1779423883098,349.055,8088.000,8022.305,8054.942,-65.695
1779423883108,344.843,8191.000,8052.889,8070.114,-138.111
1779423883118,349.170,8088.000,8021.433,8054.942,-66.567
1779423883128,344.937,8191.000,8052.919,8070.114,-138.081
1779423883148,345.052,8191.000,8052.543,8094.487,-138.457
1779423883168,345.157,8191.000,8051.751,8094.487,-139.249
1779423883188,345.252,8157.000,8051.038,8094.487,-105.962
1779423883208,345.367,8157.000,8050.166,8094.487,-106.834
1779423883228,345.483,8157.000,8049.294,8094.487,-107.706
1779423883248,345.566,8157.000,8048.661,8094.487,-108.339
1779423883268,345.682,8157.000,8047.789,8094.487,-109.211
1779423883288,345.797,8157.000,8046.917,8094.487,-110.083
1779423883308,345.881,8157.000,8046.284,8094.487,-110.716
1779423883328,346.007,8157.000,8045.333,8062.172,-111.667
1779423883348,346.090,8157.000,8044.701,8062.172,-112.299
1779423883368,346.206,8157.000,8043.829,8062.172,-113.171
1779423883388,346.321,8157.000,8042.958,8062.172,-114.042
1779423883408,346.415,8157.000,8042.246,8062.172,-114.754
1779423883428,346.531,8157.000,8041.374,8062.172,-115.626
1779423883448,346.625,8157.000,8040.663,8062.172,-116.337
1779423883456,342.392,8157.000,8052.118,8075.956,-104.882
1779423883468,346.730,8157.000,8039.871,8062.172,-117.129
1779423883476,342.496,8122.000,8052.151,8075.956,-69.849
1779423883488,346.813,8157.000,8039.239,8062.172,-117.761
1779423883496,342.612,8122.000,8052.187,8075.956,-69.813
1779423883508,346.929,8157.000,8038.368,8062.172,-118.632
1779423883516,342.706,8157.000,8052.217,8075.956,-104.783
1779423883528,347.044,8157.000,8037.497,8112.092,-119.503
1779423883536,342.821,8157.000,8052.253,8075.956,-104.747
1779423883556,342.905,8157.000,8052.279,8075.956,-104.721
1779423883576,343.020,8157.000,8052.315,8039.276,-104.685
1779423883596,343.146,8157.000,8052.355,8039.276,-104.645
1779423883616,343.229,8157.000,8052.381,8039.276,-104.619
1779423883636,343.345,8157.000,8052.418,8039.276,-104.582
1779423883656,343.439,8191.000,8052.447,8039.276,-138.553
1779423883676,343.543,8191.000,8052.480,8039.276,-138.520
1779423883696,343.659,8191.000,8052.517,8039.276,-138.483
1779423883716,343.753,8191.000,8052.546,8039.276,-138.454
1779423883736,343.868,8225.000,8052.582,8039.276,-172.418
1779423883756,343.962,8225.000,8052.612,8039.276,-172.388
1779423883776,344.066,8191.000,8052.645,8070.114,-138.355
1779423883796,344.171,8191.000,8052.678,8070.114,-138.322
1779423883816,344.286,8191.000,8052.714,8070.114,-138.286
1779423883836,344.380,8191.000,8052.744,8070.114,-138.256
1779423883856,344.485,8191.000,8052.777,8070.114,-138.223
1779423883862,340.157,8157.000,8051.414,8092.465,-105.586
1779423883876,344.600,8191.000,8052.813,8070.114,-138.187
1779423883882,340.261,8157.000,8051.447,8092.465,-105.553
1779423883896,344.694,8191.000,8052.843,8070.114,-138.157
