binIndex,angleDeg,thickness
0,0.00,20062.708
1,7.50,19408.061
2,15.00,19085.236
3,22.50,18404.904
4,30.00,18666.094
5,37.50,18313.302
6,45.00,16527.053
7,52.50,15331.373
8,60.00,14002.297
9,67.50,14319.515
10,75.00,13760.703
11,82.50,15911.500
12,90.00,17185.126
13,97.50,17540.042
14,105.00,18240.946
15,112.50,17039.027
16,120.00,17207.676
17,127.50,17838.692
18,135.00,18943.634
19,142.50,19587.896
20,150.00,20191.155
21,157.50,20317.362
22,165.00,21374.755
23,172.50,21045.739
24,180.00,20062.708
25,187.50,19408.060
26,195.00,19085.236
27,202.50,18404.904
28,210.00,18666.093
29,217.50,18313.302
30,225.00,16527.053
31,232.50,15331.373
32,240.00,14002.297
33,247.50,14319.516
34,255.00,13760.703
35,262.50,15911.500
36,270.00,17185.126
37,277.50,17540.042
38,285.00,18240.946
39,292.50,17039.028
40,300.00,17207.676
41,307.50,17838.692
42,315.00,18943.634
43,322.50,19587.896
44,330.00,20191.154
45,337.50,20317.362
46,345.00,21374.755
47,352.50,21045.738
