rank,lambda,mu,rmsePct,maePct,stdPred,capturePct,explainedPct,pearsonR,rSquared
1,0.00001,0,5.0718,3.1058,59.519,63.5144,2.1164,0.145479,0.021164
2,0.0001,0,5.0718,3.1058,59.519,63.5144,2.1164,0.145479,0.021164
3,0.00001,0.001,5.0718,3.1058,59.519,63.5143,2.1164,0.145479,0.021164
4,0.0001,0.001,5.0718,3.1058,59.519,63.5143,2.1164,0.145479,0.021164
5,0.001,0,5.0718,3.1058,59.519,63.5143,2.1164,0.145479,0.021164
6,0.001,0.001,5.0718,3.1058,59.519,63.5143,2.1164,0.145479,0.021164
7,0.00001,0.01,5.0718,3.1058,59.519,63.5141,2.1164,0.145479,0.021164
8,0.0001,0.01,5.0718,3.1058,59.519,63.5141,2.1164,0.145479,0.021164
9,0.001,0.01,5.0718,3.1058,59.519,63.5141,2.1164,0.145479,0.021164
10,0.01,0,5.0718,3.1058,59.518,63.5137,2.1164,0.145479,0.021164
11,0.01,0.001,5.0718,3.1058,59.518,63.5137,2.1164,0.145479,0.021164
12,0.01,0.01,5.0718,3.1058,59.518,63.5135,2.1164,0.145479,0.021164
13,0.00001,0.1,5.0718,3.1058,59.518,63.5121,2.1163,0.145479,0.021164
14,0.0001,0.1,5.0718,3.1058,59.518,63.5121,2.1163,0.145479,0.021164
15,0.001,0.1,5.0718,3.1058,59.518,63.5121,2.1163,0.145479,0.021164
16,0.01,0.1,5.0718,3.1058,59.517,63.5115,2.1163,0.145479,0.021164
17,0.1,0,5.0718,3.1057,59.516,63.5084,2.1162,0.145479,0.021164
18,0.1,0.001,5.0718,3.1057,59.516,63.5083,2.1162,0.145479,0.021164
19,0.1,0.01,5.0718,3.1057,59.516,63.5081,2.1162,0.145479,0.021164
20,0.1,0.1,5.0718,3.1057,59.515,63.5062,2.1161,0.145479,0.021164
21,0.00001,1,5.0718,3.1058,59.508,63.4923,2.1157,0.145479,0.021164
22,0.0001,1,5.0718,3.1058,59.508,63.4923,2.1157,0.145479,0.021164
23,0.001,1,5.0718,3.1058,59.508,63.4923,2.1157,0.145479,0.021164
24,0.01,1,5.0718,3.1058,59.508,63.4917,2.1157,0.145479,0.021164
25,0.1,1,5.0718,3.1057,59.506,63.4863,2.1155,0.145479,0.021164
