binIndex,angleDeg,thickness
0,0.00,4525.525
1,7.50,4809.921
2,15.00,4490.585
3,22.50,4500.398
4,30.00,4331.285
5,37.50,4424.203
6,45.00,4403.592
7,52.50,4310.011
8,60.00,4178.646
9,67.50,4203.751
10,75.00,4373.098
11,82.50,4522.462
12,90.00,4533.553
13,97.50,4382.464
14,105.00,4490.906
15,112.50,4716.787
16,120.00,4690.661
17,127.50,4684.672
18,135.00,4504.832
19,142.50,4591.646
20,150.00,4715.876
21,157.50,4662.017
22,165.00,4758.035
23,172.50,4517.491
24,180.00,4525.525
25,187.50,4809.921
26,195.00,4490.585
27,202.50,4500.398
28,210.00,4331.285
29,217.50,4424.203
30,225.00,4403.592
31,232.50,4310.011
32,240.00,4178.646
33,247.50,4203.751
34,255.00,4373.098
35,262.50,4522.462
36,270.00,4533.553
37,277.50,4382.464
38,285.00,4490.906
39,292.50,4716.787
40,300.00,4690.661
41,307.50,4684.672
42,315.00,4504.832
43,322.50,4591.646
44,330.00,4715.876
45,337.50,4662.017
46,345.00,4758.035
47,352.50,4517.491
