seq,ts,AD,position,posLength,velocity,width,filmVelocity,isRotationCW,angleOfRotation,aRoundTimeOfRotation,sampleAD
0,1767857941115,50655,11720,13850,-0.336,1450,26.252,0,-57.6,7.683,50642
1,1767857941216,50580,11665,13850,-4.192,1450,26.252,0,-58.4,7.717,50642
2,1767857941310,46961,11615,13850,-4.192,1450,26.252,0,-58.4,7.717,50642
3,1767857941420,42818,11566,13850,-4.192,1450,26.252,0,-58.4,7.683,50642
4,1767857941514,39181,11518,13850,-4.192,1450,26.252,0,-58.4,7.683,50642
5,1767857941611,38962,11471,13850,-4.192,1450,26.252,0,-58.4,7.683,50642
6,1767857941723,38942,11415,13850,-4.192,1450,26.252,0,-58.4,7.717,50642
7,1767857941819,38791,11371,13850,-4.192,1450,26.252,0,-58.4,7.717,50642
8,1767857941913,38906,11316,13850,-4.192,1450,26.252,0,-58.4,7.683,50642
9,1767857942009,39078,11271,13850,-4.192,1450,26.252,0,-58.4,7.683,50642
10,1767857942105,39443,11221,13850,-4.192,1450,26.252,0,-58.4,7.717,50642
11,1767857942215,39402,11166,13850,-4.192,1450,26.252,0,-58.4,7.717,50642
12,1767857942312,39325,11116,13850,-4.192,1450,26.276,0,-59,7.717,50642
13,1767857942422,39004,11066,13850,-4.192,1450,26.276,0,-59,7.717,50642
14,1767857942516,38865,11016,13850,-4.192,1450,26.276,0,-59,7.717,50642
15,1767857942613,38776,10966,13850,-4.192,1450,26.276,0,-59,7.717,50642
16,1767857942725,38978,10911,13850,-4.192,1450,26.276,0,-59,7.717,50642
17,1767857942804,39086,10871,13850,-4.192,1450,26.276,0,-59,7.717,50642
18,1767857942916,39360,10816,13850,-4.192,1450,26.276,0,-59,7.717,50642
19,1767857943011,39469,10766,13850,-4.192,1450,26.276,0,-59,7.717,50642
20,1767857943106,39538,10721,13850,-4.192,1450,26.276,0,-59,7.717,50642
21,1767857943218,39420,10666,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
22,1767857943313,39332,10622,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
23,1767857943425,39308,10562,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
24,1767857943517,39081,10517,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
25,1767857943613,39070,10467,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
26,1767857943723,38991,10411,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
27,1767857943820,39088,10372,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
28,1767857943911,39219,10322,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
29,1767857944025,39285,10262,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
30,1767857944120,39267,10217,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
31,1767857944214,39195,10167,13850,-4.192,1450,26.264,0,-59.7,7.717,50642
32,1767857944310,39191,10122,13850,-4.2,1450,26.252,0,-60.4,7.717,50642
33,1767857944420,39232,10067,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
34,1767857944513,38993,10017,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
35,1767857944624,38641,9967,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
36,1767857944720,38658,9917,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
37,1767857944816,38775,9867,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
38,1767857944926,39191,9818,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
39,1767857945023,39277,9774,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
40,1767857945120,39404,9718,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
41,1767857945215,39343,9668,13850,-4.2,1450,26.252,0,-60.4,7.683,50642
42,1767857945310,39229,9618,13850,-4.192,1450,26.24,0,-61.2,7.683,50642
43,1767857945422,39075,9563,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
44,1767857945516,38776,9517,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
45,1767857945612,38499,9468,13850,-4.192,1450,26.24,0,-61.2,7.683,50642
46,1767857945724,39029,9418,13850,-4.192,1450,26.24,0,-61.2,7.683,50642
47,1767857945817,38971,9369,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
48,1767857945929,39518,9308,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
49,1767857946008,39647,9273,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
50,1767857946103,39684,9228,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
51,1767857946215,39428,9168,13850,-4.192,1450,26.24,0,-61.2,7.717,50642
52,1767857946310,39263,9123,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
53,1767857946421,38852,9063,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
54,1767857946517,38827,9019,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
55,1767857946627,39016,8963,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
56,1767857946719,39085,8914,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
57,1767857946815,39114,8868,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
58,1767857946926,38791,8814,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
59,1767857947018,38886,8774,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
60,1767857947128,39049,8714,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
61,1767857947224,38866,8664,13850,-4.2,1450,26.276,0,-61.9,7.717,50642
62,1767857947318,39032,8619,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
63,1767857947428,39055,8559,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
64,1767857947508,39297,8524,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
65,1767857947617,39410,8469,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
66,1767857947716,39493,8419,13850,-4.2,1450,26.264,0,-62.5,7.683,50642
67,1767857947808,39454,8369,13850,-4.2,1450,26.264,0,-62.5,7.683,50642
68,1767857947919,39243,8319,13850,-4.2,1450,26.264,0,-62.5,7.683,50642
69,1767857948015,38946,8269,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
70,1767857948122,38693,8219,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
71,1767857948215,38759,8169,13850,-4.2,1450,26.264,0,-62.5,7.717,50642
